model,param1,value1,param2,value2,deltaB_FIRAS,deltaB_over_Bcmb,compatible
log_sigmoid,lambda_c_m,2.855592301990112e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,2.855592301990112e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.303599120128339e-07,sharpness,2.0,3.344597467036525e-08,4.36062251243354e-07,True
log_sigmoid,lambda_c_m,3.303599120128339e-07,sharpness,4.0,1.466882171285988e-14,1.9124930525241043e-13,True
log_sigmoid,lambda_c_m,3.303599120128339e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.303599120128339e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.303599120128339e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.821892620633115e-07,sharpness,2.0,4.4763709697304144e-08,5.836207261708493e-07,True
log_sigmoid,lambda_c_m,3.821892620633115e-07,sharpness,4.0,2.6256774532384952e-14,3.4233082832314145e-13,True
log_sigmoid,lambda_c_m,3.821892620633115e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.821892620633115e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,3.821892620633115e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.421499907374487e-07,sharpness,2.0,5.991123371018592e-08,7.81111260888995e-07,True
log_sigmoid,lambda_c_m,4.421499907374487e-07,sharpness,4.0,4.704570066849101e-14,6.133728900715907e-13,True
log_sigmoid,lambda_c_m,4.421499907374487e-07,sharpness,8.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.421499907374487e-07,sharpness,16.0,0.0,0.0,True
log_sigmoid,lambda_c_m,4.421499907374487e-07,sharpness,32.0,0.0,0.0,True
log_sigmoid,lambda_c_m,5.115178099293146e-07,sharpness,2.0,8.018450008140388e-08,1.0454302487797114e-06,True
log_sigmoid,lambda_c_m,5.115178099293146e-07,sharpness,4.0,8.425204978124157e-14,1.09846218749989e-12,True
