zHD,MU_SH0ES,MU_SH0ES_ERR_DIAG,c,USED_IN_SH0ES_HF,mu_lcdm,residual,cz,zbin
0.03756,36.2185,0.171341,-0.034681,1,36.0937342818863,0.12476571811370007,-0.00130261836,"(0.0333, 0.0439]"
0.03796,36.0889,0.198876,-0.026254,1,36.11737423644481,-0.028474236444807843,-0.00099660184,"(0.0333, 0.0439]"
0.03818,35.8938,0.151724,-0.068868,1,36.130272949564734,-0.2364729495647353,-0.0026293802399999996,"(0.0333, 0.0439]"
0.03818,35.8617,0.152703,-0.060189,1,36.130272949564734,-0.2685729495647351,-0.00229801602,"(0.0333, 0.0439]"
0.03828,36.1141,0.236153,-0.117726,1,36.13611207940048,-0.022012079400482776,-0.00450655128,"(0.0333, 0.0439]"
0.03848,36.2564,0.149974,-0.139538,1,36.14774589047836,0.10865410952163757,-0.0053694222399999995,"(0.0333, 0.0439]"
0.03873,36.0125,0.17035,-0.132215,1,36.162205603166655,-0.1497056031666517,-0.00512068695,"(0.0333, 0.0439]"
0.03884,36.026,0.219507,0.05253,1,36.16853909824509,-0.14253909824508781,0.0020402652,"(0.0333, 0.0439]"
0.04014,36.284,0.147901,-0.001615,1,36.242094406298776,0.041905593701223154,-6.48261e-05,"(0.0333, 0.0439]"
0.04035,36.5486,0.234635,0.030005,1,36.25375840296441,0.29484159703559243,0.0012107017499999998,"(0.0333, 0.0439]"
0.04056,36.0167,0.143473,-0.094287,1,36.265363479774045,-0.24866347977404502,-0.0038242807199999995,"(0.0333, 0.0439]"
0.04056,36.0818,0.14498,-0.052499,1,36.265363479774045,-0.18356347977404397,-0.00212935944,"(0.0333, 0.0439]"
0.04089,36.1263,0.168835,-0.028406,1,36.28348244494141,-0.1571824449414123,-0.0011615213400000002,"(0.0333, 0.0439]"
0.04099,36.0403,0.147245,-0.035481,1,36.288944962726305,-0.24864496272630277,-0.0014543661899999998,"(0.0333, 0.0439]"
0.04101,36.3153,0.150794,-0.081271,1,36.290035910613064,0.025264089386936917,-0.0033329237099999996,"(0.0333, 0.0439]"
0.04222,36.2101,0.208042,-0.069318,1,36.355093925531186,-0.14499392553118895,-0.00292660596,"(0.0333, 0.0439]"
0.04258,36.5106,0.426487,-0.010656,1,36.374100381958534,0.13649961804146216,-0.00045373248,"(0.0333, 0.0439]"
0.04268,36.2931,0.151018,-0.125206,1,36.37935224067812,-0.08625224067811388,-0.0053437920800000005,"(0.0333, 0.0439]"
0.04285,36.2521,0.175538,-0.049623,1,36.38825301934361,-0.13615301934360957,-0.00212634555,"(0.0333, 0.0439]"
0.04285,36.2071,0.166515,-0.050188,1,36.38825301934361,-0.18115301934361128,-0.0021505558,"(0.0333, 0.0439]"
0.04289,36.2018,0.162522,-0.07832,1,36.390342333402316,-0.1885423334023173,-0.0033591448,"(0.0333, 0.0439]"
0.04369,36.2594,0.177777,-0.070549,1,36.43173583854157,-0.17233583854157075,-0.00308228581,"(0.0333, 0.0439]"
0.04408,36.3298,0.181208,-0.044881,1,36.45164897505545,-0.12184897505544967,-0.00197835448,"(0.0439, 0.079]"
0.04438,36.5469,0.231201,0.054703,1,36.4668507067586,0.08004929324140164,0.0024277191400000004,"(0.0439, 0.079]"
0.04439,36.2916,0.249078,0.06224,1,36.4673557112407,-0.1757557112406971,0.0027628336,"(0.0439, 0.079]"
0.0444,36.551,0.270525,0.023653,1,36.46786060529345,0.0831393947065493,0.0010501932000000001,"(0.0439, 0.079]"
0.04545,36.4541,0.196266,0.035848,1,36.520269624129256,-0.06616962412925886,0.0016292915999999997,"(0.0439, 0.079]"
0.04575,36.4634,0.173532,-0.026552,1,36.53502791062233,-0.07162791062233254,-0.001214754,"(0.0439, 0.079]"
