target,obs_id,instrument,filter,mjd,proposal
J1630,ibzi25010,WFC3/UVIS,F390W,56467.67454155093,12898
J1630,ibzi26010,WFC3/UVIS,F390W,56467.74966898148,12898
J1630,ibzi27010,WFC3/UVIS,F390W,56456.92133503472,12898
J1630,ibzi28010,WFC3/UVIS,F390W,56457.06214502315,12898
J1630,ic4475010,WFC3/UVIS,F390W,56459.59188295139,13084
J1630,ic6m7h010,WFC3/UVIS,F390W,56457.151855752316,13074
J1630,j93i42clq,ACS/WFC,F435W,53282.89289267361,10174
J1630,j93i42cmq,ACS/WFC,F814W,53282.89958232639,10174
J2341,hst_10886_49_acs_wfc_f814w_j9op49,ACS/WFC,F814W,53971.68184134,10886
J2341,hst_11202_52_wfpc2_pc_f606w_ua1l52,WFPC2/PC,F606W,54380.52033615,11202
J2341,hst_12898_29_wfc3_uvis_f390w_ibzi29,WFC3/UVIS,F390W,56440.2635802,12898
J2341,hst_12898_30_wfc3_uvis_f390w_ibzi30,WFC3/UVIS,F390W,56448.95002723,12898
J2341,hst_skycell-p1321x14y19_acs_wfc_f814w_all,ACS/WFC,F814W,53971.68184134,--
J2341,hst_skycell-p1321x14y19_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56440.2635802,--
J2341,hst_skycell-p1411x14y03_acs_wfc_f814w_all,ACS/WFC,F814W,53971.68184134,--
J2341,hst_skycell-p1411x14y03_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56440.2635802,--
J2341,j9op49010,ACS/WFC,F814W,53971.68184131944,10886
J2341,na1l0g010,NICMOS/NIC2,F160W,54667.8993133912,11202
J2341,ibzi30010,WFC3/UVIS,F390W,56448.9500272338,12898
J2341,ibzi29010,WFC3/UVIS,F390W,56440.27169390046,12898
J2341,ua1l5203m,WFPC2/PC,F606W,54380.5870028125,11202
J2341,ua1l5202m,WFPC2/PC,F606W,54380.5370028125,11202
J2341,ua1l5204m,WFPC2/PC,F606W,54380.60366947917,11202
J2341,ua1l5201m,WFPC2/PC,F606W,54380.52033614583,11202
J2341,hst_skycell-p1321x14y20_acs_wfc_f814w_all,ACS/WFC,F814W,53971.68184134,--
J2341,hst_skycell-p1321x14y20_wfc3_uvis_f390w_all,WFC3/UVIS,F390W,56440.2635802,--
