Bmax,lambda0_m,bias_opt,bias_ir,bias_cmb,cmb_minus_opt
0.1,4.500557675700497e-07,0.07134801726396144,0.09999995939040558,0.1,0.02865198273603857
0.1,4.768611697714474e-07,0.06690108943246031,0.09999977799353903,0.1,0.03309891056753969
0.1,5.052631065335679e-07,0.06239546920875186,0.0999990024198593,0.1,0.03760453079124815
0.1,5.35356667741073e-07,0.0579012756845097,0.099996231189006,0.1,0.042098724315490305
0.1,5.672426068491978e-07,0.05348013413961831,0.0999877867874502,0.1,0.0465198658603817
0.1,6.010276782070388e-07,0.0491838267229227,0.09996544463497102,0.1,0.050816173277077305
0.1,6.368249944718587e-07,0.04505384893079192,0.09991329096866616,0.1,0.05494615106920808
0.1,6.7475440531107e-07,0.041121662095126514,0.09980434342350242,0.1,0.05887833790487349
0.1,7.149428986597577e-07,0.03740943261857579,0.09959808965946643,0.1,0.06259056738142421
0.1,7.57525025877192e-07,0.033931071812501094,0.0992402382696895,0.1,0.0660689281874989
0.1,8.026433522257174e-07,0.03069342433428949,0.09866554323096999,0.1,0.06930657566571052
0.1,8.504489341802686e-07,0.027697490101934244,0.09780368298143702,0.1,0.07230250989806576
0.1,9.011018251665019e-07,0.02493959899995847,0.09658722048302237,0.1,0.07506040100004154
0.1,9.547716114208066e-07,0.02241248697174625,0.09496003895064999,0.1,0.07758751302825376
0.1,1.011637979766207e-06,0.020106245258664612,0.09288455368032805,0.1,0.0798937547413354
0.1,1.0718913192051285e-06,0.01800913173361569,0.09034640588980039,0.1,0.08199086826638431
0.1,1.1357333583431052e-06,0.016108245216474148,0.08735603293410053,0.1,0.08389175478352585
0.1,1.2033778407775905e-06,0.014390071323853993,0.08394721882363324,0.1,0.08560992867614602
0.1,1.2750512407130129e-06,0.012840912791233462,0.08017326278954866,0.1,0.08715908720876654
0.1,1.3509935211980278e-06,0.01144721920956664,0.07610167594270921,0.1,0.08855278079043337
0.1,1.4314589375234786e-06,0.010195831488894426,0.07180834056421095,0.1,0.08980416851110558
0.1,1.5167168884709241e-06,0.009074155684788454,0.06737191557801403,0.1,0.09092584431521156
0.1,1.6070528182616385e-06,0.008070279537495052,0.06286903356545419,0.1,0.09192972046250496
0.1,1.7027691722259014e-06,0.007173043489941533,0.058370584223131045,0.1,0.09282695651005847
0.1,1.8041864093920718e-06,0.0063720762802568776,0.05393916526274742,0.1,0.09362792371974313
0.1,1.9116440753857036e-06,0.005657803581562349,0.04962762689790994,0.1,0.09434219641843766
0.1,2.0255019392306664e-06,0.00502143666522269,0.04547854282324844,0.1,0.09497856333477732
0.1,2.146141197858406e-06,0.004454946733267662,0.04152439971284486,0.1,0.09554505326673235
0.1,2.2739657523579273e-06,0.003951029415026164,0.03778829463112428,0.1,0.09604897058497384
0.1,2.409403560239527e-06,0.0035030629494048784,0.034284951093449444,0.1,0.09649693705059513
0.1,2.5529080682395166e-06,0.0031050627652898124,0.031021897944300682,0.1,0.0968949372347102
0.1,2.704959730463137e-06,0.0027516345108841937,0.02800069210749362,0.1,0.0972483654891158
0.1,2.8660676169482502e-06,0.0024379270492040474,0.025218101119862415,0.1,0.09756207295079596
0.1,3.0367711180354605e-06,0.0021595865122987393,0.02266719125156748,0.1,0.09784041348770127
0.1,3.2176417502507353e-06,0.001912712173151099,0.020338290831308836,0.1,0.0980872878268489
0.1,3.4092850697468146e-06,0.0016938146355547357,0.018219816182046135,0.1,0.09830618536444527
0.1,3.6123426997094304e-06,0.0014997766445332796,0.01629896001976232,0.1,0.09850022335546672
0.1,3.827494478516315e-06,0.0013278166710768092,0.014562250233883023,0.1,0.09867218332892319
0.1,4.0554607358408275e-06,0.0011754553150791103,0.012995991653301365,0.1,0.0988245446849209
0.1,4.297004704320844e-06,0.0010404844910559597,0.011586605618117564,0.1,0.09895951550894405
0.1,4.5529350748669476e-06,0.0009209393057253879,0.010320882688776256,0.1,0.09907906069427462
0.1,4.824108704165373e-06,0.0008150724993501225,0.009186163234539624,0.1,0.09918492750064989
0.1,5.111433483440165e-06,0.0007213312994906796,0.00817045940461405,0.1,0.09927866870050933
0.1,5.4158713780794765e-06,0.0006383365230121619,0.007262530421354264,0.1,0.09936166347698784
0.1,5.738441648302393e-06,0.0005648637570893511,0.006451921466116739,0.1,0.09943513624291066
0.1,6.080224261649427e-06,0.0004998264504261996,0.005728974795928311,0.1,0.0995001735495738
0.1,6.44236350872137e-06,0.0004422607502976517,0.005084820216888575,0.1,0.09955773924970235
0.1,6.826071834272393e-06,0.0003913119280677835,0.004511350691302241,0.1,0.09960868807193222
0.1,7.232633896483534e-06,0.00034622224458298324,0.004001187685905206,0.1,0.09965377775541702
0.1,7.663410868007463e-06,0.00030632011656400726,0.0035476398768115925,0.1,0.099693679883436
0.1,8.119844993184008e-06,0.00027101045529858147,0.0031446580013326344,0.1,0.09972898954470143
0.1,8.603464416684509e-06,0.00023976605918446525,0.0027867879705816504,0.1,0.09976023394081554
0.1,9.115888299750819e-06,0.00021211995172064625,0.0024691238106562597,0.1,0.09978788004827936
0.1,9.658832241158709e-06,0.0001876585662071495,0.002187261564967735,0.1,0.09981234143379286
0.1,1.0234114021054528e-05,0.00016601568757238506,0.001937254947908218,0.1,0.09983398431242763
0.1,1.0843659686896109e-05,0.00014686707032807167,0.001715573274216986,0.1,0.09985313292967193
0.1,1.148951000187311e-05,0.0001299256596210663,0.0015190619848760136,0.1,0.09987007434037894
