sim,C390,C814,ratio,C814_gt_C390
225,0.23119916187912865,0.2589027342597701,1.1198255744332022,True
226,0.2751785445077425,0.2723584909356128,0.9897519133362146,False
227,0.2829643083004418,0.2959990863165461,1.0460650959634967,True
228,0.11806178942793512,0.12495246391875744,1.0583649843375311,True
229,0.1498045128559298,0.14297950688987576,0.954440585026849,False
230,0.15826915628372656,0.17245461639768125,1.0896287087581653,True
231,0.2385628989137989,0.2610332148839494,1.094190320760102,True
232,0.29578415590633605,0.30312394158381795,1.0248146681656813,True
233,0.17244236665121526,0.1866033660530668,1.0821201870332353,True
234,0.16827838868671766,0.18873801657867603,1.12158202875384,True
235,0.15047020777800157,0.15855399629322156,1.0537235153363151,True
236,0.2796376474055366,0.28809601412366137,1.0302475964756572,True
237,0.27869606913169476,0.30062749884668505,1.0786929998091463,True
238,0.11528714776280627,0.12550746188481657,1.0886509408927154,True
239,0.1345389838757394,0.12994450573431146,0.965850209291967,False
240,0.07114003140552262,0.07233269161183215,1.0167649659797162,True
241,0.2938926401824728,0.30703789722111585,1.044728091967466,True
242,0.1070869436406669,0.1074015771835548,1.0029381130153798,True
243,0.10429321667187288,0.10618634024354892,1.0181519338657679,True
244,0.16729857374528542,0.17816435937569983,1.0649484654122499,True
245,0.1512851634839437,0.1485256596437037,0.9817595871485914,False
246,0.3072294316953086,0.3223696487809051,1.0492798395064302,True
247,0.1698050748886683,0.17911717230156182,1.0548399240658675,True
248,0.12246676788602563,0.12721335764953787,1.0387581859589017,True
249,0.2966071745625124,0.2977337666489412,1.0037982631003126,True
250,0.2623544184124004,0.26589193370958586,1.0134837267791874,True
251,0.25068637350129985,0.2616162056533455,1.0435996260961067,True
252,0.19899621768482254,0.21130855327723463,1.0618722091085813,True
253,0.2513666380424289,0.25722878246115305,1.0233210917104067,True
254,0.24343988985563023,0.25204876467052223,1.0353634518155486,True
255,0.29808459373182883,0.3030141219329534,1.0165373464606473,True
256,0.24253921545520812,0.25871727191521504,1.0667028481544447,True
257,0.3266686785137588,0.3260665185518742,0.9981566645304831,False
258,0.23204434447969438,0.2449931733660288,1.0558032513801152,True
259,0.2069584171441118,0.2163310239210877,1.0452873910919478,True
260,0.20278624897968606,0.2181396498589475,1.0757122386577576,True
261,0.07215570199328085,0.08630127609467335,1.1960423599331031,True
262,0.22004206986477648,0.2334766882008038,1.061054771681994,True
263,0.34051795907591476,0.35806376724429395,1.0515268217159364,True
264,0.3566712351664082,0.36822910203221254,1.032404819133822,True
265,0.2361830156932999,0.2449050113743769,1.036928970762246,True
266,0.11600085017260411,0.13274015442184892,1.144303289366737,True
267,0.1467529203906664,0.15437462786830916,1.0519356443289392,True
268,0.19226246039721698,0.21326042617004454,1.1092151100607235,True
269,0.15138107517916627,0.16721578935304823,1.104601675970004,True
270,0.15847166832850584,0.17599246006723232,1.110561035442667,True
271,0.19483457421036562,0.20605207435514447,1.0575744843554673,True
272,0.1861178342890587,0.19396866690462625,1.0421820544256626,True
273,0.23492593424957706,0.2391858166214576,1.0181328740289481,True
274,0.22512917541314384,0.23721687135462513,1.0536922676472238,True
275,0.22563440963766077,0.24475730001707832,1.08475165826935,True
276,0.1612590130667243,0.17499439241130005,1.0851758861930554,True
277,0.11927584457803873,0.12257731599360618,1.027679296065746,True
